2026-06-30 19:13:51,780 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:13:52,676 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:14:02,255 | bronze.loader | INFO | Table 'bronze.crop_analytics' already exists.
2026-06-30 19:14:03,006 | bronze.loader | INFO | Table 'bronze.crop_analytics' already exists.
2026-06-30 19:14:08,090 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:14:08,555 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:17:12,879 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 19:17:17,842 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 19:17:18,523 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:17:23,877 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:17:29,813 | bronze.loader | INFO | Table 'bronze.rainfall' already exists.
2026-06-30 19:17:35,258 | bronze.loader | INFO | Table 'bronze.rainfall' already exists.
2026-06-30 19:17:41,380 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:17:44,303 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:17:52,566 | bronze.loader | INFO | Table 'bronze.temperature' already exists.
2026-06-30 19:17:55,491 | bronze.loader | INFO | Table 'bronze.temperature' already exists.
2026-06-30 19:17:58,395 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:18:01,335 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:18:09,673 | bronze.loader | INFO | Table 'bronze.production_coded' already exists.
2026-06-30 19:18:12,526 | bronze.loader | INFO | Table 'bronze.production_coded' already exists.
2026-06-30 19:18:15,617 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:18:18,225 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:18:26,729 | bronze.loader | INFO | Table 'bronze.crop_analytics' already exists.
2026-06-30 19:18:29,598 | bronze.loader | INFO | Table 'bronze.crop_analytics' already exists.
2026-06-30 19:18:32,529 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:18:35,364 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:20:32,955 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 19:20:38,752 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:20:50,275 | bronze.loader | INFO | Table 'bronze.rainfall' already exists.
2026-06-30 19:22:50,559 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 19:22:56,345 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:23:07,699 | bronze.loader | INFO | Table 'bronze.rainfall' already exists.
2026-06-30 19:24:12,519 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:24:23,933 | bronze.loader | INFO | Table 'bronze.temperature' already exists.
2026-06-30 19:24:29,722 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:24:40,949 | bronze.loader | INFO | Table 'bronze.production_coded' already exists.
2026-06-30 19:24:46,431 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 19:24:57,854 | bronze.loader | INFO | Table 'bronze.crop_analytics' already exists.
2026-06-30 19:25:03,605 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
