2026-06-30 21:58:24,222 | bronze_pipeline | INFO | [temperature] Done — 71311 rows inserted in 7.14s
2026-06-30 21:58:24,222 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 21:58:32,517 | bronze_pipeline | INFO | [production_coded] Done — 56717 rows inserted in 7.13s
2026-06-30 21:58:32,517 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 21:58:38,339 | bronze_pipeline | INFO | [crop_analytics] Done — 28242 rows inserted in 4.65s
2026-06-30 22:01:23,290 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 22:01:29,000 | bronze_pipeline | ERROR | [production] Failed after 5.71s: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 22:01:30,152 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 22:01:31,607 | bronze_pipeline | ERROR | [rainfall] Failed after 1.45s: 'Area'
2026-06-30 22:01:32,755 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 22:01:34,211 | bronze_pipeline | ERROR | [temperature] Failed after 1.46s: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 22:01:35,355 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 22:01:36,862 | bronze_pipeline | ERROR | [production_coded] Failed after 1.51s: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 22:01:38,004 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 22:01:39,467 | bronze_pipeline | ERROR | [crop_analytics] Failed after 1.46s: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 22:11:47,830 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 22:11:53,560 | bronze_pipeline | ERROR | [production] Failed after 5.73s: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 22:11:54,752 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 22:11:56,206 | bronze_pipeline | ERROR | [rainfall] Failed after 1.45s: 'Area'
2026-06-30 22:11:57,352 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 22:11:58,811 | bronze_pipeline | ERROR | [temperature] Failed after 1.46s: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
